protein_id,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome_Vacuole,Golgi apparatus,Peroxisome
FSCN1_HUMAN,0.606999993,0.243100002,0.42899999,0.117399998,0.333400011,0.0115,0.095899999,0.326400012,0.162599996,0.0009
MK06_HUMAN,0.671500027,0.68629998,0.0143,0.248199999,0.246700004,0.0017,0.136199996,0.094499998,0.139899999,0.028100001
CCL15_HUMAN,0.127100006,0.080300003,0.943700016,0.106399998,0.110299997,0.0051,0.2104,0.238199994,0.124899998,0.015799999
HIF1A_HUMAN,0.417199999,0.863900006,0.0125,0.167999998,0.125,0.0006,0.046399999,0.036600001,0.028899999,0.0009
IF16_HUMAN,0.43720001,0.9005,0.120800003,0.0339,0.050900001,0.0048,0.104400001,0.0164,0.0252,0.0025
CDKN3_HUMAN,0.842700005,0.458000004,0.040800001,0.203700006,0.179100007,0.0029,0.316700011,0.341600001,0.300300002,0.009
ZSC26_HUMAN,0.252700001,0.842100024,0.046500001,0.0726,0.072400004,0.0004,0.018200001,0.079099998,0.0242,0.0065
AMHR2_HUMAN,0.268400013,0.137799993,0.178900003,0.803900003,0.066699997,0.001,0.304699987,0.495499998,0.342900008,0.021400001
MIA_HUMAN,0.159999996,0.098800004,0.853900015,0.271299988,0.0647,0.0052,0.429399997,0.488999993,0.501800001,0.023499999
FOXD1_HUMAN,0.249799997,0.912199974,0.0075,0.0704,0.109800003,0.0003,0.018999999,0.019099999,0.0239,0.0062
CP1B1_HUMAN,0.109399997,0.099100001,0.197899997,0.128199995,0.324000001,0.056699999,0.864600003,0.118100002,0.149900004,0.0383
DUS5_HUMAN,0.610199988,0.56220001,0.061799999,0.257499993,0.189199999,0.0019,0.1461,0.201499999,0.184100002,0.0028
H31T_HUMAN,0.322400004,0.561600029,0.042399999,0.184900001,0.1391,0.023600001,0.022700001,0.080200002,0.043000001,0.0199
CP2AD_HUMAN,0.1228,0.079800002,0.279799998,0.172399998,0.132400006,0.0117,0.861199975,0.091200002,0.228100002,0.0231
DECR_HUMAN,0.157399997,0.144999996,0.056000002,0.083499998,0.898000002,0.166800007,0.049199998,0.064499997,0.122500002,0.048599999
MA2A1_HUMAN,0.127599999,0.136099994,0.384499997,0.191499993,0.040800001,0.0024,0.498899996,0.361799985,0.933300018,0.028000001
NDUA5_HUMAN,0.185000002,0.104800001,0.031300001,0.050299998,0.987399995,0.020500001,0.032900002,0.037300002,0.0656,0.017999999
KYNU_HUMAN,0.798200011,0.485100001,0.0251,0.240899995,0.237399995,0.017899999,0.187299997,0.085699998,0.048300002,0.053800002
AT2B3_HUMAN,0.135800004,0.094999999,0.0135,0.831499994,0.054000001,0.0013,0.50910002,0.476300001,0.469700009,0.009
CEGT_HUMAN,0.185699999,0.066299997,0.184,0.429899991,0.057100002,0.0068,0.580799997,0.155900002,0.661300004,0.0007
CLPP_HUMAN,0.163399994,0.181199998,0.083300002,0.139200002,0.928799987,0.0112,0.071599998,0.070500001,0.073100001,0.062199999
DGKD_HUMAN,0.689100027,0.437700003,0.039700001,0.521399975,0.199699998,0.0008,0.213799998,0.389899999,0.2852,0.0546
THTR_HUMAN,0.702400029,0.315499991,0.064900003,0.280999988,0.66140002,0.0352,0.41170001,0.149700001,0.154799998,0.306499988
UBE2S_HUMAN,0.633300006,0.764299989,0.0162,0.064400002,0.122100003,0.0004,0.340299994,0.0995,0.090499997,0.0081
QPCT_HUMAN,0.294400007,0.1017,0.762300014,0.326400012,0.168099999,0.0046,0.612100005,0.521899998,0.382299989,0.048099998
GSTA3_HUMAN,0.762700021,0.296799988,0.106600001,0.227899998,0.235100001,0.0429,0.086800002,0.191100001,0.265300006,0.249200001
KAT1_HUMAN,0.846499979,0.169100001,0.052700002,0.1206,0.468800008,0.049699999,0.221100003,0.201700002,0.1184,0.205200002
KGUA_HUMAN,0.639500022,0.674099982,0.054699998,0.204699993,0.449900001,0.0035,0.257099986,0.128600001,0.263900012,0.043099999
GLO2_HUMAN,0.233999997,0.242899999,0.146400005,0.085199997,0.859700024,0.0175,0.097499996,0.073600002,0.093500003,0.030999999
H2A2C_HUMAN,0.345099986,0.460700005,0.249500006,0.182799995,0.283399999,0.034299999,0.0748,0.160400003,0.028000001,0.209600002
H2B2E_HUMAN,0.214499995,0.696099997,0.136800006,0.199699998,0.258100003,0.018200001,0.031800002,0.0493,0.032400001,0.053199999
LAMA3_HUMAN,0.259600013,0.175099999,0.906199992,0.284500003,0.152899995,0.0065,0.204699993,0.154300004,0.237299994,0.0126
CAH9_HUMAN,0.273699999,0.079800002,0.297899991,0.713400006,0.075800002,0.001,0.428600013,0.50029999,0.366299987,0.0383
NDUA9_HUMAN,0.179800004,0.079899997,0.0307,0.163900003,0.903299987,0.423700005,0.075300001,0.0801,0.085500002,0.0265
MAON_HUMAN,0.268299997,0.2042,0.072099999,0.160699993,0.787,0.0057,0.139400005,0.116899997,0.195199996,0.050999999
RTN1_HUMAN,0.252700001,0.150399998,0.036899999,0.36500001,0.118000001,0.0042,0.727999985,0.281199992,0.660000026,0.208499998
PHKG1_HUMAN,0.555299997,0.377999991,0.0359,0.332399994,0.0942,0.013,0.32069999,0.0502,0.210199997,0.0105
MEP1A_HUMAN,0.189799994,0.097599998,0.574800014,0.676299989,0.197899997,0.0232,0.479400009,0.309300005,0.453399986,0.046599999
MEP1B_HUMAN,0.203799993,0.094400004,0.5546,0.769900024,0.101599999,0.028999999,0.375499994,0.464700013,0.489100009,0.038400002
PPR3A_HUMAN,0.279700011,0.3662,0.192300007,0.407400012,0.149800003,0.0123,0.743300021,0.245299995,0.427700013,0.238499999
PCKGM_HUMAN,0.284999996,0.133599997,0.130600005,0.159299999,0.851199985,0.140699998,0.100699998,0.185100004,0.265599996,0.59859997
PTN21_HUMAN,0.638999999,0.382600009,0.062399998,0.543799996,0.074000001,0.0028,0.137400001,0.136399999,0.138400003,0.0032
PTPRO_HUMAN,0.226400003,0.149399996,0.135800004,0.766099989,0.0537,0.0092,0.260699987,0.433699995,0.299899995,0.047200002
DUS6_HUMAN,0.63349998,0.498400003,0.052299999,0.187900007,0.165600002,0.0058,0.158299997,0.192100003,0.178100005,0.0114
DUS7_HUMAN,0.554899991,0.574100018,0.064199999,0.260399997,0.213799998,0.0015,0.160899997,0.202900007,0.211600006,0.0048
UPP1_HUMAN,0.648299992,0.393400013,0.024599999,0.197500005,0.100900002,0.0015,0.200399995,0.0581,0.133300006,0.0097
DDR2_HUMAN,0.161799997,0.114600003,0.044100001,0.741900027,0.0274,0.0007,0.219899997,0.50880003,0.238700002,0.020500001
HCDH_HUMAN,0.1699,0.084600002,0.0244,0.0392,0.977999985,0.186000004,0.036400001,0.035500001,0.0211,0.078900002
SIA4B_HUMAN,0.233199999,0.203500003,0.37349999,0.104900002,0.242300004,0.0022,0.630800009,0.279500008,0.898800015,0.008
PTPRN_HUMAN,0.201199993,0.145099998,0.127900004,0.562399983,0.044500001,0.0008,0.144800007,0.575399995,0.335399985,0.092399999
CP51A_HUMAN,0.1866,0.122000001,0.1391,0.119499996,0.224299997,0.120399997,0.939700007,0.125699997,0.285100013,0.01
UGPA_HUMAN,0.803600013,0.504599988,0.239099994,0.066600002,0.162499994,0.0074,0.124799997,0.153300002,0.206499994,0.063000001
AOC3_HUMAN,0.236699998,0.126100004,0.26030001,0.726499975,0.0744,0.0011,0.579100013,0.554899991,0.485500008,0.129800007
DGUOK_HUMAN,0.238800004,0.111699998,0.082500003,0.1043,0.924300015,0.0047,0.1061,0.067199998,0.090700001,0.119000003
VATF_HUMAN,0.628400028,0.659200013,0.0039,0.127299994,0.0451,0.0021,0.093199998,0.017000001,0.055399999,0.0116
LTC4S_HUMAN,0.096799999,0.099200003,0.058499999,0.771399975,0.190500006,0.005,0.796999991,0.72390002,0.777800024,0.0228
F263_HUMAN,0.658200026,0.660399973,0.042399999,0.167400002,0.209199995,0.0021,0.126100004,0.112599999,0.066500001,0.020099999
F264_HUMAN,0.77670002,0.432599992,0.0251,0.248899996,0.196799994,0.0033,0.153400004,0.240999997,0.103100002,0.0128
CDO1_HUMAN,0.78670001,0.462399989,0.315600008,0.237599999,0.108599998,0.0094,0.101199999,0.468600005,0.0319,0.0067
CGT_HUMAN,0.203799993,0.101000004,0.061299998,0.267500013,0.067299999,0.0079,0.858699977,0.271200001,0.404199988,0.031199999
TRXR1_HUMAN,0.525099993,0.204600006,0.157000005,0.536000013,0.352800012,0.0104,0.265399992,0.301699996,0.528599977,0.084799998
TPD53_HUMAN,0.501699984,0.291999996,0.135800004,0.350199997,0.326299995,0.0027,0.385699987,0.268999994,0.512799978,0.018100001
MIC60_HUMAN,0.154799998,0.126699999,0.129099995,0.163900003,0.942300022,0.019400001,0.231099993,0.091399997,0.223800004,0.060699999
IMPG1_HUMAN,0.232899994,0.110799998,0.91930002,0.285299987,0.104900002,0.0039,0.280200005,0.1752,0.2086,0.0065
RHG44_HUMAN,0.686999977,0.326499999,0.169300005,0.437400013,0.182099998,0.0006,0.191699997,0.372999996,0.323399991,0.0096
ZN827_HUMAN,0.358799994,0.905600011,0.0276,0.0105,0.060699999,0.0016,0.050799999,0.0129,0.043099999,0.007
LONF1_HUMAN,0.415300012,0.783100009,0.0309,0.033399999,0.058699999,0.0009,0.166899994,0.079400003,0.085000001,0.0106
SYT16_HUMAN,0.561699986,0.470600009,0.0118,0.477699995,0.180099994,0.0041,0.248400003,0.453900009,0.357499987,0.0135
GEN_HUMAN,0.463999987,0.76910001,0.0208,0.102899998,0.236699998,0.0026,0.094700001,0.068700001,0.105999999,0.021600001
COOA1_HUMAN,0.257699996,0.170100003,0.928600013,0.237499997,0.054499999,0.0037,0.32159999,0.063199997,0.160500005,0.0023
CPEB4_HUMAN,0.630900025,0.686500013,0.0081,0.059599999,0.027000001,0.0049,0.120800003,0.113200001,0.0241,0.003
DOK7_HUMAN,0.736899972,0.190300003,0.037599999,0.522899985,0.286599994,0.0002,0.150299996,0.495200008,0.297100008,0.0043
ZSWM7_HUMAN,0.443100005,0.740499973,0.298999995,0.0165,0.051199999,0.005,0.159199998,0.142399997,0.086900003,0.0129
ECSCR_HUMAN,0.205400005,0.139599994,0.538600028,0.71450001,0.062600002,0.0006,0.224999994,0.349700004,0.216999993,0.0634
SC5AC_HUMAN,0.142900005,0.076300003,0.0154,0.877200007,0.115599997,0.012,0.188199997,0.457500011,0.258300006,0.004
DOXA1_HUMAN,0.190899998,0.069499999,0.1105,0.74089998,0.047200002,0.0042,0.53549999,0.449699998,0.542800009,0.0048
DOXA2_HUMAN,0.205799997,0.066299997,0.097099997,0.745800018,0.073100001,0.003,0.530200005,0.4454,0.529799998,0.0111
LONF2_HUMAN,0.438499987,0.762600005,0.045499999,0.034000002,0.060899999,0.0007,0.135800004,0.1008,0.081799999,0.0076
CSPP1_HUMAN,0.805899978,0.157600001,0.032099999,0.226300001,0.162799999,0.0038,0.048700001,0.162900001,0.213599995,0.049800001
INSC_HUMAN,0.675899982,0.514299989,0.035399999,0.206599995,0.158600003,0.0113,0.261900008,0.374300003,0.429899991,0.023399999
SAMTR_HUMAN,0.492500007,0.668099999,0.0221,0.036600001,0.207399994,0.0032,0.134599999,0.107299998,0.296799988,0.0059
F110C_HUMAN,0.729499996,0.245800003,0.049800001,0.450100005,0.0942,0.0009,0.185599998,0.106299996,0.077500001,0.024800001
T132A_HUMAN,0.311399996,0.1215,0.194399998,0.667400002,0.036699999,0.0009,0.333700001,0.338999987,0.452399999,0.0195
INF2_HUMAN,0.663999975,0.321099997,0.114200003,0.6329,0.230399996,0.0011,0.349400014,0.364600003,0.413599998,0.028899999
MICB_HUMAN,0.294200003,0.144800007,0.247199997,0.780799985,0.080200002,0.0023,0.584900022,0.555199981,0.363599986,0.079300001
MICA_HUMAN,0.265100002,0.126800001,0.197799996,0.801999986,0.090099998,0.0025,0.55430001,0.572700024,0.358500004,0.110399999
PDS5A_HUMAN,0.203299999,0.900099993,0.113499999,0.090400003,0.043099999,0.0506,0.0328,0.022700001,0.073100001,0.0056
CL12B_HUMAN,0.209700003,0.109899998,0.169200003,0.800599992,0.026000001,0.0016,0.122500002,0.228400007,0.289400011,0.048999999
LRC26_HUMAN,0.206300005,0.116099998,0.2597,0.749300003,0.166899994,0.0011,0.497799993,0.558099985,0.436199993,0.068099998
RSPO4_HUMAN,0.2016,0.115800001,0.951900005,0.210700005,0.114299998,0.0014,0.178200006,0.275599986,0.248300001,0.0049
MOONR_HUMAN,0.801199973,0.386400014,0.085500002,0.181500003,0.168699995,0.0022,0.115099996,0.170900002,0.171299994,0.0153
RN151_HUMAN,0.538999975,0.534500003,0.173600003,0.136099994,0.301499993,0.0043,0.095600002,0.181400001,0.0561,0.039700001
RFX7_HUMAN,0.346500009,0.863200009,0.0052,0.061700001,0.1083,0.0093,0.023600001,0.044799998,0.109999999,0.001
CL16A_HUMAN,0.658699989,0.393599987,0.025900001,0.264499992,0.080300003,0.0044,0.234500006,0.519800007,0.448700011,0.0074
GSG1_HUMAN,0.161799997,0.094800003,0.054400001,0.828499973,0.0592,0.0047,0.252600014,0.214900002,0.245299995,0.0062
BLTP1_HUMAN,0.253199995,0.240899995,0.025800001,0.272500008,0.418900013,0.096299998,0.736899972,0.417600006,0.431800008,0.041000001
ZN423_HUMAN,0.370999992,0.808399975,0.100900002,0.052000001,0.044300001,0.0024,0.058699999,0.0704,0.055500001,0.0003
KIF7_HUMAN,0.726000011,0.380499989,0.050099999,0.169599995,0.189300001,0.0004,0.189600006,0.368699998,0.400999993,0.0189
RHG31_HUMAN,0.726599991,0.372200012,0.083899997,0.365999997,0.110699996,0.0037,0.176300004,0.178200006,0.187000006,0.020199999
ODFP4_HUMAN,0.169,0.166500002,0.090000004,0.79460001,0.091700003,0.0033,0.336299986,0.364600003,0.238999993,0.0126
K1C24_HUMAN,0.7324,0.355800003,0.206499994,0.416500002,0.100900002,0.0027,0.0308,0.119599998,0.116300002,0.0016
AAK1_HUMAN,0.729600012,0.301299989,0.047899999,0.415399998,0.139300004,0.0018,0.205200002,0.344399989,0.456999987,0.0109
KIZ_HUMAN,0.503300011,0.612600029,0.043200001,0.0999,0.122199997,0.0006,0.060699999,0.099200003,0.283399999,0.0042
MPEG1_HUMAN,0.164700001,0.116099998,0.658200026,0.726700008,0.154499993,0.036899999,0.147599995,0.568199992,0.296000004,0.079000004
WASC4_HUMAN,0.629100025,0.274800003,0.112000003,0.256700009,0.104500003,0.0036,0.3926,0.514500022,0.523699999,0.0155
TM266_HUMAN,0.279399991,0.184,0.0155,0.73269999,0.078500003,0.0018,0.6972,0.595200002,0.396299988,0.067599997
SPKAP_HUMAN,0.772300005,0.394800007,0.044100001,0.230700001,0.214000002,0.0089,0.207000002,0.147799999,0.288399994,0.230199993
ABCB5_HUMAN,0.0854,0.145199999,0.073200002,0.771399975,0.065700002,0.0044,0.305000007,0.591000021,0.101499997,0.0319
SC5A9_HUMAN,0.117700003,0.084299996,0.0104,0.825900018,0.139300004,0.0034,0.34040001,0.51880002,0.271200001,0.0077
S35G1_HUMAN,0.1329,0.182899997,0.017100001,0.405400008,0.145799994,0.0053,0.503700018,0.279000014,0.535399973,0.0074
HYAL4_HUMAN,0.149800003,0.053800002,0.56400001,0.669499993,0.094499998,0.0222,0.450500011,0.317999989,0.31220001,0.018200001
RSPO1_HUMAN,0.165199995,0.0647,0.966099977,0.220899999,0.088699996,0.0029,0.198100001,0.260800004,0.416399986,0.0047
TECT1_HUMAN,0.246099994,0.143700004,0.875500023,0.1752,0.189999998,0.0045,0.410299987,0.287499994,0.269300014,0.0064
CTC1_HUMAN,0.286300004,0.7421,0.031599998,0.080899999,0.306600004,0.0019,0.2465,0.0788,0.093400002,0.036800001
SGSM1_HUMAN,0.632099986,0.362599999,0.0165,0.555599988,0.113300003,0.0004,0.201700002,0.486999989,0.384799987,0.1149
ERC6L_HUMAN,0.341800004,0.89380002,0.0044,0.0625,0.064400002,0.0122,0.037900001,0.064499997,0.057300001,0.0165
PARP6_HUMAN,0.569400012,0.745999992,0.0154,0.189199999,0.173999995,0.0177,0.164399996,0.262300014,0.152999997,0.0265
PRSR3_HUMAN,0.755500019,0.297899991,0.163399994,0.190599993,0.204999998,0.0006,0.211799994,0.254900008,0.251100004,0.136999995
RGPA2_HUMAN,0.676100016,0.492199987,0.0198,0.242400005,0.139699996,0.0024,0.339899987,0.387300014,0.399399996,0.0037
LIN41_HUMAN,0.740400016,0.556800008,0.023399999,0.076700002,0.131500006,0.0053,0.145899996,0.40110001,0.290499985,0.0041
ZXDC_HUMAN,0.365500003,0.891200006,0.020199999,0.047800001,0.120800003,0.0003,0.056499999,0.064800002,0.0539,0.0036
MP17L_HUMAN,0.079400003,0.057100002,0.0261,0.240700006,0.783599973,0.055799998,0.364100009,0.222599998,0.191499993,0.677999973
TYSD1_HUMAN,0.473100007,0.311500013,0.174500003,0.028899999,0.034299999,0.0022,0.293099999,0.030400001,0.065399997,0.807200015
ALG11_HUMAN,0.181400001,0.207499996,0.112499997,0.26879999,0.135499999,0.0195,0.909500003,0.179299995,0.385699987,0.032200001
CCD57_HUMAN,0.72329998,0.352400005,0.151199996,0.185000002,0.190500006,0.0016,0.213200003,0.301400006,0.495499998,0.034000002
PWP3A_HUMAN,0.405000001,0.85860002,0.200399995,0.045400001,0.0748,0.0002,0.057500001,0.054699998,0.0173,0.0124
VWC2_HUMAN,0.215299994,0.077100001,0.943700016,0.233099997,0.063600004,0.0096,0.270099998,0.223399997,0.640500009,0.0099
QRIC1_HUMAN,0.398499995,0.882300019,0.061700001,0.0594,0.039099999,0.0008,0.081699997,0.046,0.0647,0.0004
SMU1_HUMAN,0.54519999,0.541400015,0.0726,0.232199997,0.087499999,0.0022,0.071800001,0.220200002,0.204600006,0.006
ATG2A_HUMAN,0.512000024,0.324299991,0.039900001,0.231700003,0.628199995,0.0092,0.484299988,0.527400017,0.537299991,0.0088
HKDC1_HUMAN,0.685100019,0.467700005,0.0594,0.201100007,0.569299996,0.0071,0.0603,0.0713,0.075800002,0.035100002
KLH40_HUMAN,0.773899972,0.307099998,0.114699997,0.250499994,0.108199999,0.0072,0.450700015,0.233199999,0.470600009,0.0027
C19L2_HUMAN,0.151999995,0.931599975,0.021400001,0.033199999,0.0187,0.071199998,0.0208,0.037799999,0.074500002,0.0153
COSA1_HUMAN,0.178100005,0.123400003,0.953999996,0.243699998,0.054200001,0.0054,0.254099995,0.194000006,0.178900003,0.0021
FHOD3_HUMAN,0.788900018,0.325899988,0.030200001,0.507000029,0.111699998,0.0011,0.294099987,0.158000007,0.239800006,0.0042
KIF4B_HUMAN,0.619899988,0.753899992,0.034200002,0.067599997,0.080300003,0.0035,0.105899997,0.119099997,0.155900002,0.0032
CR1L_HUMAN,0.261099994,0.217399999,0.817399979,0.227300003,0.066699997,0.0034,0.275000006,0.178100005,0.227300003,0.0156
CTU2_HUMAN,0.510399997,0.727299988,0.0184,0.111199997,0.38319999,0.0003,0.150000006,0.107900001,0.137899995,0.0011
SKOR2_HUMAN,0.464300007,0.896700025,0.0231,0.0502,0.049199998,0.0002,0.045000002,0.055199999,0.033199999,0.0011
CEA16_HUMAN,0.380800009,0.174799994,0.856400013,0.379900008,0.123800002,0.0038,0.283100009,0.215900004,0.188299999,0.0118
KLH38_HUMAN,0.728200018,0.395799994,0.119099997,0.170900002,0.132100001,0.0034,0.290699989,0.250800014,0.266299993,0.0027
S4A8_HUMAN,0.177399993,0.1215,0.014,0.839900017,0.114699997,0.0042,0.315800011,0.369599998,0.27759999,0.0027
UVSSA_HUMAN,0.483799994,0.793600023,0.0123,0.070100002,0.123300001,0.0032,0.158099994,0.0305,0.028899999,0.0007
DRB5_HUMAN,0.219500005,0.097999997,0.144500002,0.736800015,0.069899999,0.0018,0.532199979,0.47420001,0.31220001,0.156000003
HFE_HUMAN,0.257499993,0.115699999,0.220799997,0.770900011,0.078199998,0.0012,0.493900001,0.647300005,0.358799994,0.112199999
DB114_HUMAN,0.1193,0.068099998,0.966000021,0.1061,0.0528,0.0121,0.168500006,0.204699993,0.217999995,0.0023
ANO4_HUMAN,0.164000005,0.0757,0.022600001,0.841199994,0.225899994,0.0037,0.370299995,0.355699986,0.178399995,0.023399999
PGGHG_HUMAN,0.664099991,0.270900011,0.709599972,0.143199995,0.181299999,0.0023,0.270900011,0.227200001,0.264499992,0.113399997
MYLK3_HUMAN,0.669499993,0.502499998,0.167799994,0.293799996,0.092799999,0.0013,0.251800001,0.052700002,0.177300006,0.0052
ZN750_HUMAN,0.304699987,0.950500011,0.036800001,0.0473,0.045499999,0.0015,0.036600001,0.0062,0.0154,0.0015
LRRF1_HUMAN,0.645299971,0.389600009,0.072700001,0.410600007,0.133900002,0.0005,0.248799995,0.134900004,0.62650001,0.0186
PGPS1_HUMAN,0.193700001,0.215299994,0.083800003,0.153999999,0.819299996,0.0116,0.336299986,0.264299989,0.323900014,0.509199977
P3H1_HUMAN,0.302599996,0.235100001,0.366400003,0.163599998,0.098399997,0.0039,0.844600022,0.306100011,0.552100003,0.0231
TRM5_HUMAN,0.196600005,0.556800008,0.0779,0.0385,0.569400012,0.075800002,0.075000003,0.031399999,0.074699998,0.021299999
EMAL3_HUMAN,0.477899998,0.537100017,0.052299999,0.177100003,0.124300003,0.0004,0.222100005,0.386200011,0.136999995,0.039799999
NDUF6_HUMAN,0.187299997,0.121600002,0.057,0.152899995,0.76730001,0.0076,0.189600006,0.099799998,0.166500002,0.066500001
RFX4_HUMAN,0.31310001,0.788600028,0.0288,0.0625,0.113399997,0.0042,0.058200002,0.128299996,0.238399997,0.0104
LRRK1_HUMAN,0.583400011,0.452600002,0.057799999,0.412299991,0.274100006,0.0072,0.235100001,0.359299988,0.357499987,0.0143
EDRF1_HUMAN,0.657899976,0.488900006,0.0559,0.336600006,0.098099999,0.0025,0.405400008,0.217299998,0.3662,0.035
F161A_HUMAN,0.845899999,0.516200006,0.128600001,0.144999996,0.26789999,0.0041,0.024,0.075499997,0.108400002,0.0134
PTHD3_HUMAN,0.076700002,0.180800006,0.042800002,0.747300029,0.098999999,0.006,0.566999972,0.420100003,0.442400008,0.072800003
ZN829_HUMAN,0.229499996,0.774800003,0.0219,0.0568,0.081200004,0.0003,0.040899999,0.062199999,0.031399999,0.008
PCGF3_HUMAN,0.558899999,0.611699998,0.0416,0.1096,0.090800002,0.0014,0.123899996,0.294099987,0.216299996,0.001
SOAT_HUMAN,0.168400005,0.065099999,0.018999999,0.832499981,0.317900002,0.0056,0.770399988,0.487300009,0.286300004,0.0568
MAJIN_HUMAN,0.316599995,0.663699985,0.099399999,0.27579999,0.349799991,0.062700003,0.2509,0.226799995,0.204500005,0.279100001
ANR55_HUMAN,0.679199994,0.520699978,0.036499999,0.418500006,0.224800006,0.018200001,0.152899995,0.2245,0.127399996,0.050799999
INAVA_HUMAN,0.741400003,0.370900005,0.100199997,0.274599999,0.230299994,0.001,0.129199997,0.236300007,0.192100003,0.0081
ZN792_HUMAN,0.224299997,0.814999998,0.023700001,0.055799998,0.0471,0.0002,0.038400002,0.062799998,0.0243,0.0178
PKHG6_HUMAN,0.679099977,0.206,0.053800002,0.494199991,0.189600006,0.0013,0.274500012,0.414700001,0.276199996,0.0106
ASTRB_HUMAN,0.264499992,0.238800004,0.045299999,0.607200027,0.061299998,0.0025,0.836000025,0.184699997,0.434700012,0.041299999
ALKB6_HUMAN,0.734099984,0.836000025,0.0176,0.1052,0.444400012,0.0007,0.315200001,0.049899999,0.121100001,0.0053
RHGBB_HUMAN,0.572600007,0.332599998,0.1338,0.191499993,0.164399996,0.002,0.223299995,0.398999989,0.323199987,0.019200001
CHD9_HUMAN,0.344399989,0.961700022,0.017200001,0.019300001,0.061900001,0.0059,0.020099999,0.019200001,0.048,0.0022
KR192_HUMAN,0.543099999,0.551900029,0.108199999,0.180999994,0.518599987,0.0103,0.421499997,0.115800001,0.014,0.0036
KR212_HUMAN,0.394800007,0.456900001,0.096799999,0.250800014,0.576799989,0.0063,0.40079999,0.106799997,0.0127,0.0035
KRA61_HUMAN,0.37650001,0.531899989,0.135100007,0.158899993,0.365099996,0.0053,0.568400025,0.165399998,0.025900001,0.0018
KRA62_HUMAN,0.482499987,0.620000005,0.120200001,0.130700007,0.318300009,0.0052,0.594699979,0.137400001,0.0149,0.0039
KR196_HUMAN,0.448500007,0.593800008,0.118199997,0.165600002,0.334300011,0.0141,0.504000008,0.106399998,0.0118,0.0026
KR195_HUMAN,0.40079999,0.491899997,0.170100003,0.132300004,0.424400002,0.0127,0.518400013,0.121699996,0.0096,0.0026
KR151_HUMAN,0.546800017,0.370999992,0.124300003,0.119199999,0.406699985,0.0264,0.322699994,0.098700002,0.036200002,0.0195
ADPRM_HUMAN,0.700699985,0.299499989,0.065800004,0.158700004,0.215800002,0.036699999,0.307399988,0.463400006,0.539699972,0.042199999
TKFC_HUMAN,0.787400007,0.360700011,0.0612,0.224399999,0.652400017,0.0057,0.058400001,0.168200001,0.088,0.204099998
LSM12_HUMAN,0.662999988,0.580799997,0.017000001,0.081799999,0.407499999,0.002,0.174400002,0.199399993,0.194800004,0.0261
TBC25_HUMAN,0.610199988,0.349099994,0.0098,0.477299988,0.072800003,0.0031,0.088100001,0.221200004,0.226899996,0.1664
CC50B_HUMAN,0.199100003,0.145300001,0.056200001,0.702000022,0.128299996,0.0026,0.595300019,0.550599992,0.656300008,0.0023
PUS10_HUMAN,0.513100028,0.814599991,0.0473,0.017899999,0.504899979,0.0011,0.140000001,0.0374,0.078299999,0.0058
PA24E_HUMAN,0.765299976,0.368600011,0.052000001,0.458299994,0.396400005,0.003,0.167300001,0.446399987,0.292100012,0.074299999
ZSC23_HUMAN,0.256399989,0.833299994,0.0757,0.060400002,0.066500001,0.0004,0.0187,0.095600002,0.029300001,0.0106
PIGY_HUMAN,0.156399995,0.300900012,0.184900001,0.390199989,0.619499981,0.046599999,0.731299996,0.538900018,0.475499988,0.012
HSDL1_HUMAN,0.199599996,0.272399992,0.0524,0.0515,0.563300014,0.0229,0.570500016,0.115099996,0.173700005,0.025599999
SHSL1_HUMAN,0.212599993,0.1162,0.275400013,0.662800014,0.090300001,0.0042,0.537199974,0.554799974,0.492700011,0.011
CC036_HUMAN,0.557799995,0.581799984,0.238900006,0.224999994,0.338400006,0.007,0.211300001,0.278200001,0.282200009,0.162699997
LRIT3_HUMAN,0.153699994,0.120499998,0.421099991,0.822399974,0.0328,0.0068,0.452800006,0.426200002,0.450399995,0.044399999
AR13B_HUMAN,0.602900028,0.211999997,0.058800001,0.538699985,0.179199994,0.0305,0.196400002,0.40990001,0.559499979,0.073200002
TTLL9_HUMAN,0.555700004,0.362800002,0.095600002,0.0495,0.142000005,0.0036,0.126300007,0.394199997,0.191400006,0.262899995
T10IP_HUMAN,0.658800006,0.530099988,0.148499995,0.168699995,0.391799986,0.0008,0.069700003,0.151199996,0.157900006,0.147300005
KR133_HUMAN,0.465499997,0.495499998,0.061900001,0.178900003,0.423700005,0.0217,0.198799998,0.154599994,0.046300001,0.101099998
SP6_HUMAN,0.419800013,0.913399994,0.016799999,0.059999999,0.057500001,0.0003,0.080899999,0.069300003,0.039799999,0.0022
AL1L2_HUMAN,0.2183,0.076499999,0.102700002,0.0638,0.923799992,0.067199998,0.048099998,0.044100001,0.030300001,0.043099999
K2C71_HUMAN,0.782999992,0.416799992,0.0779,0.287400007,0.093099996,0.0019,0.045899998,0.091399997,0.108099997,0.0028
FX4L6_HUMAN,0.356599987,0.822099984,0.0539,0.088299997,0.1884,0.0008,0.036499999,0.031399999,0.055599999,0.022299999
MOGT2_HUMAN,0.193599999,0.095100001,0.0135,0.218500003,0.196799994,0.0035,0.933000028,0.152199998,0.264800012,0.0121
